DB-Plant-No.,Type of Plant,Type of Plant.1,Country,Parent Company,Company Code,Company,City,State,Region,Value Chain Step,Plant No.,Last Update,Status of the Plant,Parent Manufacturer,Manufacturer_A,Manufacturer_B,Year Of Start Up,Year Of Modernizing,Nominal Capacity,Process/type Of Plant,Strip Width Min.,Strip Width Max.,Strip Thickness Min.,Strip Thickness Max.,Entry: Number Of Pay-off Reels,Entry: Coil Weight Max.,Entry: Pay-off Speed Max.,Entry: Type Of Strip Accumulator,Entry: Capacity Of Accumulator,Annealing: Strip Cleaning,Annealing: Heat Cycle,Annealing: Type Of Furnace Heating,Annealing: Cooling Cycle,Annealing: Proc. Speed Min.,Annealing: Proc. Speed Max.,Exit: Number Of Tension Reels,Exit: Coil Weight Max.,Exit: Coiling Speed Max.,Exit: Type Of Strip Accumulator,Exit: Capacity Of Accumulator Max.,Processed Strip Grades A),Processed Strip Grades B),Additional Inline Equipment,Additional Information,Latitude,Longitude
Code,Code,Text,Text,Text,Code,Text,Text,Text,Text,Text,Text,Date,Text,Text,Text,Text,Number,Number,1000 T/YEAR,Text,MM,MM,MM,MM,Number,T,M/MIN,Text,M,Text,Text,Text,Text,M/MIN,M/MIN,Number,T,M/MIN,Text,M,Text,Text,Text,Text,,
15349,77,Continuous Annealing Line,China,China Baowu Steel Group,7301940,Shanghai Baosteel Automotive Sheets Co. Ltd.,Baoshan,Shanghai,Asia,Cold Strip Processing,1,2016-01-26 19:11:59,Operating,NSENGI,NSENGI (JP),,2005,,950,CAPL (NSC),800,1850,0.3,2.5,2,40,,,,,,,,,450,1,40,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill + Tension Leveller,"Joint Venture: Baoshan Iron & Steel (50%),  Nippon Steel (38%), ArcelorMittal (12%)_x000D_
Baosteel-NSC/Arcelor Automotive Steel Sheets Co.  Ltd._x000D_
Inbetriebnahme/start-up: Febr. 27, 2005_x000D_
2011: Joint Venture: Baoshan Iron & Steel (50%),  Nippon Steel (50%)_x000D_
",31.4116,121.4584
15365,77,Continuous Annealing Line,Kazakhstan,Allur Group,3060270,Qarmet,Temirtau,,Asia,Cold Strip Processing,1,2009-08-26 18:29:39,Operating,Uralmash,Uralmash (RU),,1985,,,Normalizing,700,1250,0.1,0.4,,,,,,,,,,,,,,,,,Thin Sheet,"DQ, DDQ",,"ex Karaganda M.Z._x000D_
1995- Eigentümer/ownership:  LNM Group",50.045849,73.040384
15376,77,Continuous Annealing Line,Kazakhstan,Allur Group,3060270,Qarmet,Temirtau,,Asia,Cold Strip Processing,2,2009-08-26 18:30:06,Operating,Uralmash,Uralmash (RU),,1986,,,Normalizing,700,1250,0.1,0.4,,,,,,,,,,,,,,,,,Thin Sheet,"DQ, DDQ",,"ex Karaganda M.Z._x000D_
1995- Eigentümer/ownership:  LNM Group",50.045849,73.040384
15377,77,Continuous Annealing Line,Russia,NLMK Group,3000720,Viz-Steel,Ekaterinburg,,Europe,Cold Strip Processing,1,2023-10-26 13:28:13,Operating,Uralmash,Uralmash (RU),,1973,,,Decarburizing Line,790,1040,0.5,1,,,,,,,,,,,,,,,,,GOES,,Insulation Coating Line,"Product: grain-oriented electrical sheet_x000D_
ex VERKH-ISETSKIY M.Z._x000D_
Eigentümer/ownership: Novolipetsk Steel (NLMK), (100%) - 2006, August",,
15378,77,Continuous Annealing Line,Russia,NLMK Group,3000720,Viz-Steel,Ekaterinburg,,Europe,Cold Strip Processing,2,2021-04-04 20:23:21,Operating,Uralmash,Uralmash (RU),,1976,,,Flattening Line,790,1040,0.5,1,,,,,,,,,,,,,,,,,GOES,,Insulation Coating Line,"Product: grain-oriented electrical sheet_x000D_
ex VERKH-ISETSKIY M.Z._x000D_
Eigentümer/ownership: Novolipetsk Steel (NLMK), (100%) - 2006, August",,
15437,77,Continuous Annealing Line,China,"ATI Allegheny Technologies Inc. (60), China Baowu Steel Group (40)",7301110,Shanghai Stal Precision Stainless Steel Co. Ltd,Shanghai,Shanghai,Asia,Cold Strip Processing,2,2007-03-12 13:14:50,Operating,SMS Group,Drever International (BE),,2001,,9,Bright Annealing,,600,0.05,,,,,,,,,Electrically Heated,,,,,,,,,Stainless Steel,,,"Shanghai STAL Precision Stainless Steel Co._x000D_
Joint venture: Allegheny Ludlum (60 %) and Baoshan I&S (40%)",31.1667,121.4667
15519,77,Continuous Annealing Line,India,Jindal Stainless Ltd,5700560,Jindal Stainless Ltd,Hisar,Haryana,Asia,Cold Strip Processing,1,2022-12-09 15:32:18,Operating,,,,1996,2008,30,Bright Annealing,550,1250,0.2,2.5,,8,,,,,,ARTF,,,,,8,,,,Stainless Steel,,,,29.1489,75.7367
15529,77,Continuous Annealing Line,Germany,ThyssenKrupp AG,100070,ThyssenKrupp Rasselstein GmbH,Andernach,,Europe,Cold Strip Processing,5,2017-01-13 13:04:42,Operating,Primetals Technologies,VAI (AT),Drever International (BE),2005,,360,Recrystallisation,800,1400,0.15,0.4,2,35,730,Looping Tower,740,Electrolytic Cleaning + Pickling + Rinsing,No Rapid Quenching,ARTF,Radiant + Jet Cooler,,500,2,35,500,Looping Tower,530,Thin Sheet,"DQ, DDQ",,"Inbetriebnahme/start-up: 4.Q 2005_x000D_
",50.4397,7.4017
15858,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7300010,Anshan I&S Co. Ltd.,Anshan,Liaoning,Asia,Cold Strip Processing,1,2009-09-18 10:06:05,Operating,SMS Group,SMS Demag (DE),Siemens (De),2006,,1000,Recrystallisation,1000,1980,0.3,2,2,40,700,Looping Tower,,Rinsing + Brushing + Electrolytic Cleaning,Accelerated Cooling/Overageing/Quenching,ARTF,Ultra-fast + Water Spray Cooling,,450,2,40,820,Looping Tower,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,"Inbetriebnahme/start-up: 08.04.2006_x000D_
Hersteller Konsortium / consortium of suppliers:_x000D_
SMS Demag, Drever, Siemens_x000D_
Ofen/furnace type: vert. Strahlrohr/vert. all radiant tubes (Drever)",41.1066,122.9895
15877,77,Continuous Annealing Line,China,China Baowu Steel Group,7300520,Wuhan I&S Corp. (WISCO),Wuhan,Hubei,Asia,Cold Strip Processing,1,2008-12-18 13:36:35,Operating,SMS Group,SMS Demag (DE),Siemens (De),2006,,990,Recrystallisation,900,2080,0.3,2.5,2,,700,Vertical Looper,,Alkaline Cleaning + Rinsing,,ARTF,,,450,2,,820,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,"Ofen/furnace: vertical (Drever International, BE)_x000D_
flatness measuring + control (SIEMENS, DE)_x000D_
Inbetriebnahme/start-up Dec. 18, 2006",30.5725,114.2792
15878,77,Continuous Annealing Line,Mexico,Outokumpu Oyj,8200170,Outokumpu Mexinox,San Luis Potosi,Potosi,Latin America & Caribbean,Cold Strip Processing,1,2013-01-09 18:06:38,Operating,Tenova,Tenova (IT),Ebner (AT),2006,,70,Bright Annealing,800,1350,0.25,1.3,,25,,,,,,Natural Gas,Gas-Jet Cooling,,45,,25,,,,Stainless Steel,,,"Inbetriebnahme/start-up: 3.Q 2006_x000D_
Gasbeheizter vertikaler Muffelofen _x000D_
vertical, gas-fired muffel type  furnace - heated length 24 m (EBNER)_x000D_
Level-3 automation & control system (Techint-Presind)_x000D_
ex ThyssenKrupp Mexinox (Inoxum Group)_x000D_
Eigentümer/owners",22.1566,-100.9855
15994,77,Continuous Annealing Line,India,Tata Steel,5700790,Tata Steel BSL Ltd,Khopoli,Maharashtra,Asia,Cold Strip Processing,1,2008-01-09 11:54:22,Operating,Ebner,Ebner (AT),,2004,,15,Hardening and Tempering,,550,0.3,3.2,,,,,,,,,Metal Bath Cooling,,,,,,,,HSS,,,formerly Bhushan Steel & Stips Ltd,18.783,73.333
16185,77,Continuous Annealing Line,China,China Baowu Steel Group,7300520,Wuhan I&S Corp. (WISCO),Wuhan,Hubei,Asia,Cold Strip Processing,4,2023-12-08 16:49:57,Operating,SMS Group,SMS Demag (DE),Siemens (De),2007,,180,Intermediate Annealing,750,1050,0.5,0.9,,,70,,,,,,,,50,,,70,,,GOES,,,"Zwischenglühlinie/intermediate annealing line_x000D_
Kornorientierte-SI-Stahlbänder/grain-oriented Si steel strip (GO)_x000D_
Surface inspection system, (Parsytec, DE)",30.5725,114.2792
16294,77,Continuous Annealing Line,China,Shougang Group,7300210,Shougang Qian'An I&S Co Ltd,Shunyi,Beijing,Asia,Cold Strip Processing,1,2017-07-07 18:54:57,Operating,SMS Group,SMS Demag (DE),Siemens (De),2008,,950,Recrystallisation,800,1870,0.3,2.5,2,38,700,Vertical Looper,1200,Rinsing + Brushing + Electrolytic Cleaning,Accelerated Cooling/Overageing/Quenching,ARTF,Rapid Gas Jet Cooling,,420,2,38,820,Vertical Looper,1400,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi,"Rapid Gas Jet Cooling _x000D_
Siroll PL automation based on Simatic S7 _x000D_
Siflat contactless flatness measurement_x000D_
Inbetriebnahme/start-up: 2008, May",40.125,116.645
16391,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7300010,Anshan I&S Co. Ltd.,Anshan,Liaoning,Asia,Cold Strip Processing,21,2015-06-09 11:12:59,Operating,MCC Group,WISDRI (CN),,2005,,200,Recrystallisation,750,1300,0.15,1.5,,28,,,,,,,,,120,,28,,,,Electrical Steel,,,NGO steel strip,41.1066,122.9895
16392,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7300010,Anshan I&S Co. Ltd.,Anshan,Liaoning,Asia,Cold Strip Processing,22,2015-06-09 11:13:28,Operating,MCC Group,WISDRI (CN),,2005,,200,Recrystallisation,750,1300,0.15,1.5,,28,,,,,,,,,120,,28,,,,Electrical Steel,,,NGO steel strip,41.1066,122.9895
16394,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7300010,Anshan I&S Co. Ltd.,Anshan,Liaoning,Asia,Cold Strip Processing,23,2015-06-09 11:14:09,Operating,MCC Group,WISDRI (CN),,2005,,200,Recrystallisation,750,1300,0.15,1.5,,28,,,,,,,,,120,,28,,,,Electrical Steel,,,NGO steel strip,41.1066,122.9895
16395,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7300010,Anshan I&S Co. Ltd.,Anshan,Liaoning,Asia,Cold Strip Processing,24,2015-06-09 11:15:01,Operating,MCC Group,WISDRI (CN),,2005,,200,Recrystallisation,750,1300,0.15,1.5,,28,,,,,,,,,120,,28,,,,Electrical Steel,,,NGO steel strip,41.1066,122.9895
16405,77,Continuous Annealing Line,Germany,Bilstein Group,100840,Hugo Vogelsang GmbH & Co KG,Hagen,,Europe,Cold Strip Processing,1,2007-09-04 18:17:47,Operating,Ebner,Ebner (AT),,2006,,,Hardening and Tempering,,,,,,,,,,,,,Gas-Jet Cooling,,,,,,,,,,,"_x000D_
Eigentümer/ownership: Bilstein GmbH & Co KG",51.3594,7.475
16416,77,Continuous Annealing Line,China,China Baowu Steel Group,7300030,Baoshan I&S Co. Ltd.,Baoshan,Shanghai,Asia,Cold Strip Processing,42,2023-10-12 06:38:49,Operating,SMS Group,SMS Demag (DE),,2008,,90,Decarburizing Line,750,1270,0.15,0.5,,,130,,,,,,,,100,,,130,,,GOES,,Insulation Coating Line,"GO production line_x000D_
Inbetriebnahme/start-up: 2008, May",31.4116,121.4584
16460,77,Continuous Annealing Line,China,"Posco (82.5), Jiangsu Shagang Group Co (17.5)",7300870,Posco (Zhangjiagang) Stainless Steel Co Ltd,Zhangjiagang,Jiangsu,Asia,Cold Strip Processing,1,2013-08-15 17:09:51,Operating,Posco E&C,Posco E&C (KR),,2006,,70,Bright Annealing,600,1300,0.25,1.6,,35,,Vertical Looper,,,,,,20,60,,35,,Vertical Looper,,Stainless Steel,,,"Zhangjiagang Pohang Stainless Steel Co., Ltd. (ZPSS)_x000D_
Joint venture: Shagang Group, China (17,5 %) and Posco, Korea (82,5 %)_x000D_
",31.865,120.538
16557,77,Continuous Annealing Line,India,Jindal Stainless Ltd,5700560,Jindal Stainless Ltd,Hisar,Haryana,Asia,Cold Strip Processing,2,2022-12-09 15:31:25,Operating,Ebner,Ebner (AT),,2007,,12,Bright Annealing,200,450,0.05,1,2,,,Vertical Looper,,Alkaline Cleaning + Rinsing,,Vertical ARTF,Gas-Jet Cooling,,,1,,,Vertical Looper,,Stainless Steel,,,,29.1489,75.7367
16568,77,Continuous Annealing Line,Taiwan,China Steel Corp,7400020,China Steel Corp,Kaohsiung,,Asia,Cold Strip Processing,22,2024-02-26 14:12:58,Operating,SMS Group,SMS Demag (DE),,2007,,200,Flattening Line,600,1300,0.3,0.7,,25,,,,,,,,,130,,25,,,,NGOES - xEV Grade,,Coil Coating Line,"Produkt: nichtkornorientiertes Elektroband_x000D_
Product: non grain oriented electrical strip_x000D_
",22.6167,120.3
16883,77,Continuous Annealing Line,China,China Baowu Steel Group,7300030,Baoshan I&S Co. Ltd.,Baoshan,Shanghai,Asia,Cold Strip Processing,44,2023-10-12 06:39:16,Operating,SMS Group,SMS Demag (DE),,2008,,90,"Decarburizing, Recrystalization Line",750,1270,0.15,0.5,,,130,,,,,,,70,100,,,130,,,NGOES - High Grade,,Insulation Coating Line,"GO production line_x000D_
Inbetriebnahme/start-up: 2008, May",31.4116,121.4584
16884,77,Continuous Annealing Line,China,China Baowu Steel Group,7300030,Baoshan I&S Co. Ltd.,Baoshan,Shanghai,Asia,Cold Strip Processing,45,2023-10-12 06:39:49,Operating,SMS Group,SMS Demag (DE),,2008,,106,Flattening Line,730,1270,0.15,0.5,,,170,,,,,,,,130,,,170,,,NGOES - High Grade,,Insulation Coating Line,"Flattening & Coating Line (SGO, CGO)_x000D_
Inbetriebnahme/start-up: 2008, May",31.4116,121.4584
17018,77,Continuous Annealing Line,China,China Baowu Steel Group,7300030,Baoshan I&S Co. Ltd.,Baoshan,Shanghai,Asia,Cold Strip Processing,3,2013-08-15 18:29:03,Operating,SMS Group,SMS Demag (DE),,2009,,900,Recrystallisation,700,1630,0.3,2.3,2,35,700,Vertical Looper,,,,,,,420,2,35,760,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi,"Inbetriebnahme/start-up: 2009, July",31.4116,121.4584
17272,77,Continuous Annealing Line,China,Shougang Group,7302100,Shougang Jingtang United I&S Co Ltd,Tangshan,Hebei,Asia,Cold Strip Processing,2,2023-09-06 22:10:31,Operating,SMS Group,SMS Demag (DE),Siemens (De),2009,,870,Recrystallisation,750,1580,0.3,2.5,2,35,700,Vertical Looper,,Alkaline Cleaning + Rinsing,Accelerated Cooling/Overageing/Quenching,ARTF,,,420,1,35,820,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,Skin Pass Mill 6-hi + Tension Leveller,"Laser weder_x000D_
Vertical furnace (Fives Stein, FR)_x000D_
Inbetriebnahme/start-up: 2009, December (commercial production)",39.146541,118.432261
17474,77,Continuous Annealing Line,Russia,Magnitogorsk (MMK),3000420,Magnitogorsk M.k.,Magnitogorsk,,Europe,Cold Strip Processing,1,2017-02-21 10:20:32,Operating,SMS Group,SMS Demag (DE),,2012,,650,CAL/GI/GA,850,1880,0.28,2.8,2,36,475,,,,Accelerated Cooling/Overageing/Quenching,ARTF,,200,300,2,36,475,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Continuous Galvanizing Line,"Capacity: 650 kt/y  (400 kt/y annealed, 250 kt/y galvanized)_x000D_
Inbetriebnahme/start-up: 2012, July_x000D_
",53.3833,59.0333
17509,77,Continuous Annealing Line,China,"JFE Steel Corp. (50), China Baowu Steel Group (50)",7301230,Guangzhou JFE Steel Sheet Co. Ltd,Nansha,Guangdong,Asia,Cold Strip Processing,1,2016-01-13 15:51:08,Operating,Primetals Technologies,Primetals Technologies (JP),,2011,,1000,Recrystallisation,800,1850,0.23,2.3,,,,,,,,,,,420,,,,,,"HSS, Electrical Steel",Automotive Steel,Skin Pass Mill + Tension Leveller,"Inbetriebname/start-up: 2011, August",,
1772,77,Continuous Annealing Line,Canada,Atlas Stainless St.,8100030,Atlas Stainless St.,Sorel-Tracy,Quebec,Northern America,Cold Strip Processing,1,2023-09-06 22:09:47,Shut Down,,,,,,20,Bright Annealing,,,,,,,,,,,,,,,,,,,,,Stainless Steel,,,,46.0334,-73.1158
17771,77,Continuous Annealing Line,China,China Baowu Steel Group,7300600,Maanshan I&S Co,Maanshan,Anhui,Asia,Cold Strip Processing,1,2010-04-22 12:02:53,Operating,Primetals Technologies,Primetals Technologies Austria (AT),Siemens (De),2007,,930,Recrystallisation,900,2000,0.25,2.5,2,45,650,Vertical Looper,,Alkaline + Brushing + Electrolytic + Rinsing,Accelerated Cooling + Overageing,ARTF,Gas-Jet Cooling,,420,2,45,650,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 4-hi + Tension Leveller,"Inbetriebnahme/start-up: 2007, June",31.7135,118.3605
18048,77,Continuous Annealing Line,Sweden,Outokumpu Oyj,1800180,Outokumpu Stainless Ab,Langshyttan,,Europe,Cold Strip Processing,2,2015-02-19 17:51:17,Shut Down,Chugai Ro,Chugai Ro (JP),Ingelectric (Es),2007,,50,Bright Annealing,500,1000,0.1,1.5,,19,,,,,,,,,71,,19,,,,Stainless Steel,,,,60.4523,16.0331
18114,77,Continuous Annealing Line,China,China Baowu Steel Group,7300410,Baosteel Special Steel Co. Ltd.,Shanghai,Shanghai,Asia,Cold Strip Processing,1,2023-03-08 14:04:36,Operating,SMS Group,SMS Demag (DE),,2010,,156,Intermediate Annealing,600,1300,0.3,6.3,2,22,,Horizontal Looper,,,,,,,50,,,,,,Stainless Steel,,,"horizontel catenary furnace_x000D_
Inbetriebnahme/start-up: 2010, November 27th",31.405457,121.489609
18164,77,Continuous Annealing Line,United States,"ArcelorMittal SA (50), Nippon Steel (50)",7900900,AM/NS Calvert,Calvert,Alabama,Northern America,Cold Strip Processing,2,2016-01-26 19:02:09,Operating,SMS Group,SMS Demag (DE),Converteam (Us),2012,,600,CAL/GI/GA,920,1870,0.5,2.3,2,36,300,,,,,ARTF,Rapid Gas Jet Cooling,,220,2,36,300,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Continuous Galvanizing Line,"Inbetriebnahme/start-up:_x000D_
Eigentümer/ownership: ArcelorMittal (50%), NSSMC (50%) - 2014,  Febr.",31.14809148,-87.98991135
18482,77,Continuous Annealing Line,China,Shanghai Delong Steel Group,7302420,Tianjin Ansteel Tiantie Cold Rolled Sheet,Tianjin,Tianjin,Asia,Cold Strip Processing,1,2017-08-28 15:04:12,Operating,Primetals Technologies,Primetals Technologies Austria (AT),Siemens (De),2011,,735,Recrystallisation,900,1600,0.25,2.5,2,30,,Vertical Looper,,Alkaline + Brushing + Electrolytic + Rinsing,Accelerated Cooling/Overageing/Quenching,ARTF,Gas-Jet Cooling,,420,2,30,,Vertical Looper,,HSS,Automotive Steel,Skin Pass Mill 4-hi + Tension Leveller,"Furnace: ART type  (ANDRITZ SELAS, FR)_x000D_
Inbetriebnahme/start-up: _x000D_
Eigentümer/ownership: Anshan I&S Group (50%), _x000D_
Tianjin Tiantie Metallurgy Group (50%)_x000D_
",39.1467,117.2056
18499,77,Continuous Annealing Line,China,China Baowu Steel Group,7300520,Wuhan I&S Corp. (WISCO),Wuhan,Hubei,Asia,Cold Strip Processing,3,2012-02-29 16:30:22,Operating,Primetals Technologies,Primetals Technologies Austria (AT),Siemens (De),2011,,800,Recrystallisation,900,1430,0.25,2.5,2,,,Vertical Looper,,Alkaline + Brushing + Electrolytic + Rinsing,Accelerated Cooling + Overageing,ARTF,Gas-Jet Cooling,,420,2,,,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,,Inbetriebnahme/star-up: ,30.5725,114.2792
18641,77,Continuous Annealing Line,China,China Baowu Steel Group,7300510,Baosteel Yichang,Shanghai,Shanghai,Asia,Cold Strip Processing,1,2021-06-15 18:10:41,Operating,Fives Group,Fives Group (FR),,2008,,370,Recrystallisation,700,1050,0.15,0.5,,24,,,,,,,,,600,,24,,,,Thin Sheet,"DQ, DDQ",Skin Pass Mill 4-hi,SKIN PASS MILL 4-HI - Two Stands DRY,31.1667,121.4667
18675,77,Continuous Annealing Line,France,ArcelorMittal SA,200810,Arcelormittal St. Chely D' Apcher,Saint Chely D' Apcher,,Europe,Cold Strip Processing,3,2023-10-18 06:33:56,Operating,SMS Group,SMS Siemag (DE),,2013,,120,Recrystallisation,800,1350,0.18,1.5,,,,,,,,,,,240,,,,,,NGOES - xEV Grade,NGOES - Regular,Insulation Coating Line,non-grain oriented electrical steel,44.8017,3.2752
18739,77,Continuous Annealing Line,Italy,Acciaieria Arvedi SpA,900830,Arinox SpA,Sestri Levante,Genova,Europe,Cold Strip Processing,3,2013-10-31 18:46:27,Operating,Ebner,Ebner (AT),,2007,,,Bright Annealing,,1270,0.05,1,,,,Vertical Looper,,Alkaline Cleaning + Rinsing,,,Gas-Jet Cooling,,,,,,Vertical Looper,,Stainless Steel,,Tension Leveler,"vertical furnace hydrogen atmosphere_x000D_
Eigentümer/ownership: Finarvedi SpA (100%)",44.2733,9.3932
18933,77,Continuous Annealing Line,Vietnam,Posco,6300200,Posco Vietnam Co Ltd,Phu My,Ba Ria-Vung Tau,Asia,Cold Strip Processing,1,2015-02-23 12:58:18,Operating,NSENGI,NSENGI (JP),Posco E&C (KR),2009,,700,Recrystallisation,700,1570,0.35,1.6,,,600,Vertical Looper,,,,,,,420,,,600,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 4-hi,"Inbetriebnahme/start-up: 2009, August_x000D_
Joint venture: Posco (85%) and Nippon Steel (15%)",,
19026,77,Continuous Annealing Line,China,Shougang Group,7302100,Shougang Jingtang United I&S Co Ltd,Tangshan,Hebei,Asia,Cold Strip Processing,1,2023-09-06 22:10:37,Operating,SMS Group,SMS Demag (DE),Fives Stein (FR),2010,,1100,Recrystallisation,1000,2080,0.4,2.5,2,40,700,Vertical Looper,,Alkaline Cleaning + Rinsing,Accelerated Cooling/Overageing/Quenching,ARTF,,,420,2,40,820,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,"Ofen/furnace:_x000D_
Vertical furnace (Fives Stein, FR)_x000D_
Laser welder_x000D_
Inbetriebnahme/start-up: 2010, December 21",39.146541,118.432261
19027,77,Continuous Annealing Line,China,HBIS Group,7300530,Handan Iron & Steel Co. Ltd,Handan City,Hebei,Asia,Cold Strip Processing,1,2023-09-06 22:10:37,Operating,SMS Group,SMS Demag (DE),Siemens (De),2010,,1000,Recrystallisation,900,2080,0.3,2.5,2,40,700,Vertical Looper,1000,Alkaline + Brushing + Electrolytic + Rinsing,Accelerated Cooling/Overageing/Quenching,Vertical ARTF,Ultra-fast + Water Spray Cooling,,450,2,40,,Vertical Looper,1200,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,"Ofen/furnace: vertical ART Drever International S.A._x000D_
Laser welder_x000D_
SIAS- on-line Surface Inspection Automated System, (Siemens VAI)_x000D_
Inbetriebnahme/start-up: 2010, September 30_x000D_
UHSS",36.601308,114.439889
19047,77,Continuous Annealing Line,Japan,JFE Steel Corp.,7000120,JFE Steel Corp.,Fukuyama,Hiroshima,Asia,Cold Strip Processing,5,2022-05-24 13:21:20,Operating,Primetals Technologies,Primetals Technologies (JP),,2010,,400,NKK - CAL,610,1270,0.15,0.6,,,,,,,,,,,600,,,800,,,Thin Sheet,"DQ, DDQ",,"Imbetriebnahme/start-up: 2010, December 3",34.486,133.3624
19257,77,Continuous Annealing Line,China,Shougang Group,7300210,Shougang Qian'An I&S Co Ltd,Qian'an,Hebei,Asia,Cold Strip Processing,1,2023-10-26 13:20:02,Operating,SMS Group,SMS Siemag (DE),,2012,,62,Decarburizing Line,750,1270,0.15,0.35,,,130,Horizontal Looper,,,,,,,100,,,130,Horizontal Looper,,NGOES - High Grade,,Insulation Coating Line,,40.0059,118.6973
19258,77,Continuous Annealing Line,China,Shougang Group,7300210,Shougang Qian'An I&S Co Ltd,Qian'an,Hebei,Asia,Cold Strip Processing,2,2023-10-26 13:20:34,Operating,SMS Group,SMS Siemag (DE),,2012,,62,Decarburizing Line,750,1270,0.15,0.35,,,130,Horizontal Looper,,,,,,,100,,,130,Horizontal Looper,,NGOES - High Grade,,Insulation Coating Line,,40.0059,118.6973
19259,77,Continuous Annealing Line,China,Shougang Group,7300210,Shougang Qian'An I&S Co Ltd,Qian'an,Hebei,Asia,Cold Strip Processing,3,2023-10-26 13:21:12,Operating,SMS Group,SMS Siemag (DE),,2012,,62,Decarburizing Line,750,1270,0.15,0.35,,,130,Horizontal Looper,,,,,,,100,,,130,Horizontal Looper,,NGOES - High Grade,,Insulation Coating Line,,40.0059,118.6973
19260,77,Continuous Annealing Line,China,Shougang Group,7300210,Shougang Qian'An I&S Co Ltd,Qian'an,Hebei,Asia,Cold Strip Processing,5,2023-10-26 13:22:10,Operating,SMS Group,SMS Siemag (DE),,2012,,92,Flattening Line,750,1270,0.15,0.35,,,170,Horizontal Looper,,,,,,,130,,,170,Horizontal Looper,,NGOES - High Grade,,Insulation Coating Line,,40.0059,118.6973
19261,77,Continuous Annealing Line,China,Shougang Group,7300210,Shougang Qian'An I&S Co Ltd,Qian'an,Hebei,Asia,Cold Strip Processing,6,2023-10-26 13:22:45,Operating,SMS Group,SMS Siemag (DE),,2012,,92,Flattening Line,750,1270,0.15,0.35,,,170,Horizontal Looper,,,,,,,130,,,170,Horizontal Looper,,NGOES - High Grade,,Insulation Coating Line,,40.0059,118.6973
19281,77,Continuous Annealing Line,Taiwan,China Steel Corp,7400020,China Steel Corp,Kaohsiung,,Asia,Cold Strip Processing,3,2013-08-16 11:24:58,Operating,JP Steel Plantech,JP Steel Plantech (JP),,2011,,1100,NKK - CAL,900,1800,0.23,2.5,,,,Vertical Looper,,,,,,,450,,,,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,,22.6167,120.3
19299,77,Continuous Annealing Line,Japan,Daido Steel Co,7000030,Daido Steel Co,Tokai City,Aichi,Asia,Cold Strip Processing,1,2009-06-19 11:52:29,Operating,,,,,,,Bright Annealing,,400,0.05,2,,,,,,,,,,,,,,,,,Stainless Steel,,,,35.0226,136.9021
19312,77,Continuous Annealing Line,China,China Baowu Steel Group,7305490,Wisdri (Xinyu) Cold Processing Engineering Co. Ltd.,Xinyu,Jiangxi,Asia,Cold Strip Processing,1,2023-10-17 12:41:50,Operating,Primetals Technologies,Primetals Technologies Austria (AT),Siemens (De),2011,,700,Recrystallisation,900,1500,0.25,2.5,2,,,Vertical Looper,,Alkaline + Brushing + Electrolytic + Rinsing,Accelerated Cooling + Overageing,ARTF,Gas-Jet Cooling,,420,2,,,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",NGOES - Regular,Skin Pass Mill 4-hi + Tension Leveller,"vertical ART type furnace (Fives Stein)_x000D_
Inbetriebnahme/start-up: 2011, August",27.795,114.9242
